"dataset","year","stratum","beta_age","se","p_value","n"
"MEPS",2011,"NH-White",-0.013988084170085,0.000571472147490355,1.34873947699921e-128,10121
"MEPS",2011,"NH-Black",-0.0197664843376414,0.000961276944145705,1.13136037514782e-89,4278
"MEPS",2011,"NH-AIAN",-0.00761620637982556,0.0056514763264414,0.180699772899041,106
"MEPS",2011,"NH-Asian/PI",-0.0218527448878743,0.00176441573478373,8.63403514300292e-34,1699
"MEPS",2011,"Hispanic",-0.0215033696670088,0.00104364164738427,5.10560967397064e-91,5666
"MEPS",2011,"Other",-0.0195297517878399,0.00448050843156158,1.86295105196759e-05,271
"MEPS",2012,"NH-White",-0.0131588876195103,0.000587161194567449,1.1366679915501e-108,10376
"MEPS",2012,"NH-Black",-0.0205923741195101,0.000900437552289104,3.46329457219345e-110,5012
"MEPS",2012,"NH-AIAN",-0.00824326220904947,0.00631726276856413,0.194682255056054,111
"MEPS",2012,"NH-Asian/PI",-0.0229399685393002,0.00158292868596175,2.68796238770387e-45,1969
"MEPS",2012,"Hispanic",-0.0121979484587121,0.00461457984299377,0.00822726204253545,7021
"MEPS",2012,"Other",-0.0166878962343256,0.00370726637101069,9.50409967526845e-06,318
"MEPS",2013,"NH-White",-0.0134203329274568,0.000625302823203765,1.07067793974155e-99,9013
"MEPS",2013,"NH-Black",-0.0193979953089283,0.000913850949867407,1.57686933471247e-95,4664
"MEPS",2013,"NH-AIAN",-0.020426048514465,0.00702421378206563,0.00461578229188462,89
"MEPS",2013,"NH-Asian/PI",-0.0194938273446796,0.00159560793621576,4.36840587920827e-33,1881
"MEPS",2013,"Hispanic",-0.0222158586135127,0.000911496413970673,8.9093955224664e-126,6689
"MEPS",2013,"Other",-0.016940963703128,0.0036492717501521,4.75660059191196e-06,381
"MEPS",2014,"NH-White",-0.0140064674124785,0.000632458098729747,1.04342272931487e-105,8529
"MEPS",2014,"NH-Black",-0.0190490914797706,0.000956973125345378,1.79960562941552e-84,4378
"MEPS",2014,"NH-AIAN",-0.0192348461778393,0.00716235415434101,0.00906236129949864,71
